IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
149.104.32.11,55555,443,true,LAX,North America,Los Angeles,185,0.25
202.91.35.102,27911,443,true,LAX,North America,Los Angeles,150,0.24
172.247.205.179,9999,443,true,LAX,North America,Los Angeles,163,0.24
149.104.32.13,9999,443,true,LAX,North America,Los Angeles,185,0.19
38.49.38.194,24440,443,true,LAX,North America,Los Angeles,164,0.16
172.247.205.174,55555,443,true,LAX,North America,Los Angeles,150,0.16
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,161,0.10
154.21.95.113,54915,443,true,LAX,North America,Los Angeles,146,0.01
154.21.95.113,41809,443,true,LAX,North America,Los Angeles,139,0.01
38.181.42.216,7744,80,false,LAX,North America,Los Angeles,143,0.00
166.0.188.128,11893,443,true,LAX,North America,Los Angeles,141,0.00
154.21.88.85,56757,443,true,LAX,North America,Los Angeles,146,0.00
154.17.228.196,13713,443,true,LAX,North America,Los Angeles,147,0.00
166.0.188.128,56825,443,true,LAX,North America,Los Angeles,146,0.00
166.0.188.128,31807,443,true,LAX,North America,Los Angeles,148,0.00
166.0.188.79,40875,443,true,LAX,North America,Los Angeles,147,0.00
154.21.90.142,8443,443,true,LAX,North America,Los Angeles,145,0.00
166.0.188.128,30765,443,true,LAX,North America,Los Angeles,141,0.00
154.21.88.85,43173,443,true,LAX,North America,Los Angeles,146,0.00
166.0.188.128,29655,443,true,LAX,North America,Los Angeles,150,0.00
154.17.8.11,8086,8080,false,LAX,North America,Los Angeles,138,0.00
154.17.8.11,8084,8080,false,LAX,North America,Los Angeles,142,0.00
154.17.8.11,8089,8080,false,LAX,North America,Los Angeles,149,0.00
166.0.188.128,16131,443,true,LAX,North America,Los Angeles,140,0.00
104.167.247.188,8548,443,true,LAX,North America,Los Angeles,148,0.00
154.17.29.37,8090,8080,false,LAX,North America,Los Angeles,137,0.00
154.17.8.11,8081,8080,false,LAX,North America,Los Angeles,143,0.00
166.0.188.128,10143,443,true,LAX,North America,Los Angeles,146,0.00
154.21.88.85,12776,443,true,LAX,North America,Los Angeles,138,0.00
154.17.27.49,2002,443,true,LAX,North America,Los Angeles,157,0.00
154.21.88.85,11843,443,true,LAX,North America,Los Angeles,147,0.00
166.0.188.128,42481,443,true,LAX,North America,Los Angeles,142,0.00
39.91.137.50,2082,2082,false,LAX,North America,Los Angeles,49,0.00
154.21.88.85,26148,443,true,LAX,North America,Los Angeles,145,0.00
