IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.84.173,2095,2095,false,SIN,Asia Pacific,Singapore,302,2.73
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,331,2.73
47.236.189.92,2087,2087,true,SIN,Asia Pacific,Singapore,293,2.72
47.237.125.8,2083,2083,true,SIN,Asia Pacific,Singapore,265,2.72
47.237.14.220,8080,8080,false,SIN,Asia Pacific,Singapore,303,2.70
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,337,2.70
47.236.146.249,443,443,true,SIN,Asia Pacific,Singapore,293,2.69
47.236.150.13,8080,8080,false,SIN,Asia Pacific,Singapore,336,2.69
8.219.67.133,2086,2086,false,SIN,Asia Pacific,Singapore,356,2.67
47.236.171.205,80,80,false,SIN,Asia Pacific,Singapore,326,2.67
47.236.121.23,2086,2086,false,SIN,Asia Pacific,Singapore,335,2.67
47.236.164.215,2052,2052,false,SIN,Asia Pacific,Singapore,308,2.66
47.236.180.24,2052,2052,false,SIN,Asia Pacific,Singapore,316,2.66
47.236.145.85,2096,2096,true,SIN,Asia Pacific,Singapore,352,2.66
8.219.191.40,2095,2095,false,SIN,Asia Pacific,Singapore,279,2.65
8.219.49.65,2053,2053,true,SIN,Asia Pacific,Singapore,280,2.65
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,337,2.65
47.236.232.148,2096,2096,true,SIN,Asia Pacific,Singapore,331,2.63
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,329,2.63
47.236.171.205,2095,2095,false,SIN,Asia Pacific,Singapore,317,2.61
47.236.180.24,80,80,false,SIN,Asia Pacific,Singapore,335,2.61
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,44,2.61
8.219.60.54,2082,2082,false,SIN,Asia Pacific,Singapore,317,2.59
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,331,2.59
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,303,2.59
8.219.87.30,2086,2086,false,SIN,Asia Pacific,Singapore,309,2.58
47.237.121.38,2082,2082,false,SIN,Asia Pacific,Singapore,258,2.57
47.236.205.188,2083,2083,true,SIN,Asia Pacific,Singapore,371,2.57
47.236.170.54,2082,2082,false,SIN,Asia Pacific,Singapore,325,2.57
47.236.253.41,2086,2086,false,SIN,Asia Pacific,Singapore,327,2.57
47.236.180.24,2083,2083,true,SIN,Asia Pacific,Singapore,346,2.56
47.237.94.140,2095,2095,false,SIN,Asia Pacific,Singapore,273,2.55
47.236.144.196,8080,8080,false,SIN,Asia Pacific,Singapore,275,2.55
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,353,2.55
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,298,2.55
47.237.8.82,2052,2052,false,SIN,Asia Pacific,Singapore,318,2.55
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,333,2.54
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,305,2.53
8.222.183.242,8880,8880,false,SIN,Asia Pacific,Singapore,314,2.53
47.236.232.148,8080,8080,false,SIN,Asia Pacific,Singapore,260,2.53
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,263,2.50
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,269,2.50
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,336,2.50
47.236.80.110,2052,2052,false,SIN,Asia Pacific,Singapore,364,2.50
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,286,2.50
47.236.104.11,80,80,false,SIN,Asia Pacific,Singapore,260,2.48
47.236.164.215,8880,8880,false,SIN,Asia Pacific,Singapore,286,2.48
8.219.49.65,2087,2087,true,SIN,Asia Pacific,Singapore,273,2.47
47.237.100.206,2052,2052,false,SIN,Asia Pacific,Singapore,361,2.47
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,374,2.46
47.236.9.152,2086,2086,false,SIN,Asia Pacific,Singapore,292,2.46
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,324,2.45
47.237.10.1,8880,8880,false,SIN,Asia Pacific,Singapore,324,2.44
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,298,2.44
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,298,2.43
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,348,2.43
47.236.172.95,8080,8080,false,SIN,Asia Pacific,Singapore,297,2.42
47.236.180.24,2095,2095,false,SIN,Asia Pacific,Singapore,346,2.42
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,355,2.42
47.237.82.15,2082,2082,false,SIN,Asia Pacific,Singapore,263,2.41
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,348,2.39
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,322,2.39
47.237.95.146,2095,2095,false,SIN,Asia Pacific,Singapore,348,2.38
8.219.161.129,2082,2082,false,SIN,Asia Pacific,Singapore,358,2.36
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,299,2.34
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,55,2.32
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,310,2.31
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,322,2.30
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,327,2.28
47.236.75.152,8880,8880,false,SIN,Asia Pacific,Singapore,265,2.26
47.236.164.215,2087,2087,true,SIN,Asia Pacific,Singapore,269,2.25
47.236.87.246,80,80,false,SIN,Asia Pacific,Singapore,311,2.25
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,351,2.24
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,261,2.23
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,322,2.23
47.237.0.31,2096,2096,true,SIN,Asia Pacific,Singapore,356,2.23
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,259,2.19
47.236.166.131,8880,8880,false,SIN,Asia Pacific,Singapore,336,2.17
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,364,2.17
8.222.183.242,8443,8443,true,SIN,Asia Pacific,Singapore,287,2.17
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,338,2.16
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,257,2.16
47.237.86.185,2086,2086,false,SIN,Asia Pacific,Singapore,339,2.15
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,264,2.14
47.236.237.90,2053,2053,true,SIN,Asia Pacific,Singapore,297,2.14
47.236.121.23,8080,8080,false,SIN,Asia Pacific,Singapore,358,2.11
47.236.87.246,2052,2052,false,SIN,Asia Pacific,Singapore,345,2.11
50.114.55.57,33735,443,true,SIN,Asia Pacific,Singapore,228,2.09
47.236.180.24,8080,8080,false,SIN,Asia Pacific,Singapore,354,2.08
8.219.67.133,2082,2082,false,SIN,Asia Pacific,Singapore,347,2.08
47.236.75.152,2053,2053,true,SIN,Asia Pacific,Singapore,256,2.08
